ind,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_avg_age,beta_avg_water_dist,beta_avg_sqft,beta_avg_basement,beta_avg_index,beta_avg_unemp,beta_avg_tech,se_Intercept,se_avg_age,se_avg_water_dist,se_avg_sqft,se_avg_basement,se_avg_index,se_avg_unemp,se_avg_tech,t_Intercept,t_avg_age,t_avg_water_dist,t_avg_sqft,t_avg_basement,t_avg_index,t_avg_unemp,t_avg_tech,p_Intercept,p_avg_age,p_avg_water_dist,p_avg_sqft,p_avg_basement,p_avg_index,p_avg_unemp,p_avg_tech,sumW_Intercept,sumW_avg_age,sumW_avg_water_dist,sumW_avg_sqft,sumW_avg_basement,sumW_avg_index,sumW_avg_unemp,sumW_avg_tech
178.0,-122.0193633,47.57981998,0.22420470366643533,-0.10597256797195473,0.1602011529510255,0.06400355071540983,0.8917192291795919,-0.10917264424424108,0.11661779799190311,-0.20980109469175473,0.6084508718284412,-0.014762024735400095,-0.06237831801797475,-0.05500522988863525,0.020629325006455097,0.04368598737628845,0.044793104967368616,0.043580356853204834,0.03378918721967831,0.024342528165156148,0.02943532197656077,0.025662698614327115,0.02651315499065201,-2.499031172258613,2.603476541241295,-4.814120623161585,18.007265693389886,-0.6064293994134279,-2.1191654729527456,-2.1433922720008343,0.7780788447745495,0.012903192348185273,0.009614493775600062,2.189376269730014e-06,5.336491845257045e-52,0.5446161530704994,0.034768348773369206,0.032758811862520394,0.4370393364348564,15.301293923144858,16.268830814543666,16.268830814543666,15.301293923144858,42.414591465794715,59.23319492616203,167.1122502241597,73.79417412037006
179.0,-121.9635551,47.55278112,0.39339975393615273,0.3880822859496248,0.05956280989315223,0.3338369440430005,0.8823770526177435,-0.10536935656346341,0.10041112240745889,-0.1493863262881996,0.5949507408376632,-0.025974509665953098,-0.05462357970123647,-0.05696752290164501,0.023464235693795615,0.04302056651342056,0.04590707657047375,0.03814852041273798,0.03429385408623964,0.02411252628653702,0.02868531166599786,0.025550605890460997,0.026239699183534946,-2.4492786846633625,2.187268933435869,-3.915914029481436,17.348611192592273,-1.077220584740459,-1.904235182704483,-2.229595773418161,0.894226550757072,0.014795606228208828,0.02937293426551914,0.00010794986602692268,2.682148896254539e-49,0.28211114222582706,0.057685478694457455,0.026397543982492763,0.3718048361727462,11.266788309431872,11.658906990412444,11.658906990412444,11.266788309431872,35.138766922562326,51.77846157987298,132.64624673661083,66.46644486846793
180.0,-122.2173275,47.5811482,2.276525699995333,0.2685875239426081,2.886198699474943,-0.60967299947961,0.9758345860429908,-0.010516067562659263,-0.025601854446074664,-0.3687841375971828,1.0579766278119984,-0.033553212195313716,-0.05352778188177193,-0.054511110290739385,0.04260218884543461,0.041589489526903285,0.043615948712199,0.06475147731503997,0.027134854781379617,0.025646135554609775,0.031003040809221862,0.02584727907423305,0.026408529713990794,-0.25285397061333637,-0.586983780061949,-5.695377972658618,38.98958134605531,-1.3083145460206647,-1.7265332846270383,-2.1089689995679692,1.6131980578557044,0.800526998866129,0.5575866570869248,2.5798277608847838e-08,1.535490566277176e-130,0.19161070537840666,0.08511903752615825,0.035645211948224495,0.10758752855888394,10.87429479771841,11.70524447786864,11.70524447786864,10.87429479771841,40.9540202690197,61.84908992161192,220.40380301189663,93.393433136472
181.0,-122.05995049999999,47.58155386,0.8398351084745197,-0.48560058460907385,0.8378340796068078,0.002001028867711918,0.9284609626243988,-0.11798171766110409,0.14982825606815586,-0.27778175648899806,0.63833892496816,-0.007468264069953582,-0.06518219742499354,-0.05475843770099523,0.02105759062663682,0.044154854402260156,0.04469528484149372,0.053976902924519045,0.033384759922586965,0.02437572409442759,0.029848438728369234,0.02569941225728459,0.026588746526376435,-2.6719987928454128,3.3522161588074266,-5.146307799049647,19.120668426202524,-0.30638121932389545,-2.1837724250227395,-2.1307272381481703,0.7919738001092821,0.00788669700969401,0.0008877551423676773,4.4010050173893237e-07,1.4246373306710955e-56,0.7594935118989408,0.029631201288146038,0.03379651760467241,0.4289033448056364,15.973055241668138,17.256641358611024,17.256641358611024,15.973055241668138,45.72176711655412,63.28773179901398,181.91260729243533,77.24304022517155
182.0,-122.1131856,47.58066085,1.1280190720264747,-0.24451482640762867,1.2136115483425285,-0.08559247631605382,0.956380764145496,-0.1151296893776999,0.21792881743121778,-0.40375698716613057,0.7416279432236816,0.006881379737571024,-0.06895490237023563,-0.054630988337651724,0.02419806552522491,0.04680433418566528,0.04450869502534232,0.0655334440850598,0.03325838173620634,0.02500042611256019,0.030516119381986992,0.025747907932612793,0.026592893781767293,-2.4598082929883995,4.89632008548293,-6.161082982943336,22.298978618563307,0.2752504979950652,-2.259622251017219,-2.1217641635441407,0.9099448041948586,0.01437575567414913,1.4838271729890255e-06,1.9547405637582217e-09,1.4767923706777658e-69,0.7832834767372161,0.02444870651115477,0.0345478508228072,0.36346727595713124,15.712949294570954,17.50674357685265,17.50674357685265,15.712949294570954,44.61475903899575,65.98756937312396,197.7757556177242,83.40229073234059
183.0,-122.28308,47.58197536,0.7029641892840063,-0.4126614901549802,0.8875451873968242,-0.18458099811281792,0.9729808440032645,0.20159204859222946,0.0022897991670791183,-0.34610438384291276,0.822580497146045,-0.0951263308343398,0.002767129131428181,-0.05437908896541421,0.05866223941581869,0.05485568014585307,0.03535393552671309,0.07019116991583992,0.03385088174969076,0.028174527149463127,0.03140543646373551,0.02594231781481287,0.026072260254367704,3.6749530414393967,0.06476787189219622,-4.930882107505776,24.30012025177334,-3.376323951408443,0.08810987660125152,-2.0961538345800452,2.2499867231875847,0.00027449676542479445,0.9483951754919282,1.2579537238578036e-06,1.3696250207581277e-77,0.0008157075806129484,0.9298388885249159,0.03677408213960464,0.025059985548302077,15.55990578403696,16.75594908915478,16.75594908915478,15.55990578403696,40.9268136394786,73.02725846359345,215.4775379006738,109.93595525243076
184.0,-122.3098672,47.58819261,-0.33261423105134513,0.1319717154096266,-0.3594365665607055,0.026822335509360362,0.9510633254601686,0.28262861764150954,-0.03948679202738699,-0.3971785330237377,0.772912084091038,-0.09891457179018678,0.02522815787113705,-0.053962174223785145,0.06223114602673502,0.05975274586554944,0.03452001858033949,0.07509989395746526,0.044170290637553664,0.028657245378066243,0.03366749086783346,0.025989085237146103,0.026044983368205415,4.729968699303902,-1.1438809609991425,-5.2886696917134115,17.498460456900563,-3.4516426992628633,0.7493328793100081,-2.076339883893151,2.3893716938481173,3.2424844768162203e-06,0.25344156900970244,2.1558574519714383e-07,6.523545573367791e-50,0.0006241884205017218,0.4541514465451264,0.038579610947741774,0.017397099026593543,15.462994545954109,15.716257547413887,15.716257547413887,15.462994545954109,45.49323307563101,77.10304597847336,213.20635165823887,112.22650556041864
185.0,-122.14673159999998,47.58674892,0.10477344409268136,0.01699899805797414,-0.00668853216607297,0.11146197625875433,0.9650394614714124,-0.10943468153849314,0.13404046724135543,-0.4689413463727446,0.9463386062460089,0.010839048115516026,-0.07309397976355168,-0.05415909815873999,0.026100509780882564,0.04718193027410297,0.047152009127839525,0.062432877976511335,0.0255693452699243,0.025028086545745305,0.031184150134427536,0.025798633092687578,0.026642077825783643,-2.3194193391989986,2.842730770558304,-7.51112813587051,37.010670248140094,0.4330753809607003,-2.343946506429091,-2.099301073981744,0.9796724546620399,0.020937603055568615,0.004730819906400569,4.772118743123099e-13,4.467042775549663e-124,0.6652222731427897,0.019630263576625232,0.03649405030242195,0.3279131059134329,18.26385281953738,18.44211450345255,18.44211450345255,18.26385281953738,45.260727992956674,64.03322569599285,210.195983639979,85.51818859472155
186.0,-121.99222209999999,47.58657074,0.7157216154102557,-0.4949419954677694,0.8296590939866622,-0.11393747857640646,0.8757634445472372,-0.11393963078908448,0.10473458775569353,-0.19354652617748283,0.5909624865321765,-0.01763178042552118,-0.06238371212370429,-0.05470809889684603,0.019454189021967303,0.04332026625527279,0.04467104794500244,0.039650270126381774,0.0340329069891112,0.024427459270615695,0.029414221935398256,0.02566347713100988,0.02653604985794954,-2.630169217282134,2.344574228136295,-4.881341931859989,17.364443381849647,-0.7218016507648349,-2.1208690224992566,-2.1317492800202333,0.7331230204234528,0.00890473464237649,0.019597766229632458,1.593448487142955e-06,2.310095154536917e-49,0.47089024662732126,0.03462366739313087,0.03371174239353041,0.4639658632700333,14.503995952189122,15.359328243028171,15.359328243028171,14.503995952189122,39.37124274546893,55.4381231872409,161.09576361698484,70.006441489742
187.0,-122.36087169999999,47.57488815,-0.27651087874892943,-0.2063969945592855,-0.1543042896804398,-0.12220658906848963,0.927065500836978,0.12160092047499657,0.007240275547383175,-0.3254327909607777,0.6330661975135905,-0.10158594561194431,0.03885599878575193,-0.05518436427924232,0.07274943785774142,0.05597767162528592,0.04262772486891917,0.07587166844290112,0.04729703171830349,0.02816788980110009,0.033404584666280636,0.025996468273513054,0.025909864775340477,2.172311154508036,0.1698489790305985,-4.2892531249090595,13.384903333555286,-3.6064450098770586,1.16319359075804,-2.1227638961815383,2.807789175610834,0.03049157617238833,0.8652253838383545,2.3123569336757127e-05,2.237678576857712e-33,0.0003547536140132406,0.2455300349375359,0.034463343959656965,0.005263133980372463,11.618464665230023,11.889747731927136,11.889747731927136,11.618464665230023,48.812686520987214,81.50658735785967,193.36375316219718,107.6552043879121
